hid,save3,year,region,inc,save1,save2,m12,m18,m65,m18elem,m18sec,m18pos,f12,f18,f65,f18elem,f18sec,f18pos,of1,of2,of3,of4,of5,p0to5,p6to11,p12to17,p18to64,p65,of0,month,cpi,dev1,dev2,dev3,dev4,sd1,sd2,sd3,sd4,dvsq1,dvsq2,dvsq3,dvsq4
2.11e+08,93.55828,76,14,1088.921,-687.2957,-593.7374,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,7,.6400833,-24.75294,-10.15588,256.7853,-46.17647,54.2164,169.5218,194.8623,58.83184,612.7081,103.1419,65938.69,2132.266
1.11e+08,-452.9892,76,6,1618.277,20.98105,348.1934,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,6,.6383333,53.9697,-52.43636,273.0818,55.72187,32.24647,99.81912,134.8266,64.16047,2912.728,2749.572,74573.68,3104.927
2.21e+08,1835.913,76,32,2362.08,1458.624,1529.627,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,4,.6329167,-4.964706,-97.27941,-55.50882,97.95294,29.06564,110.1495,143.6269,89.68748,24.6483,9463.284,3081.229,9594.778
3.21e+08,-1287.671,76,29,1546.359,-430.6717,-196.2729,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,.6363333,5.17353,-150.2118,-10.8,94.96764,65.07536,109.085,121.0867,125.3696,26.76541,22563.57,116.64,9018.854
1.21e+08,562.2339,76,19,4595.152,749.8586,1353.197,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,12,.65025,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
1.11e+08,-123.839,76,6,2368.319,1292.362,1297.021,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,9,.6439167,-22.37576,-52.43636,273.0818,145.5437,33.36157,99.81912,134.8266,59.59089,500.6745,2749.572,74573.68,21182.98
1.20e+08,-241.6918,76,10,1029.851,1.14984,1.14984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,11,.6476667,-8.832059,142.9941,116.9353,-57.45882,45.96748,140.3669,193.7277,84.65757,78.00526,20447.32,13673.86,3301.516
1.21e+08,-1013.932,76,19,3202.278,847.7485,1381.804,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,9,.6439167,1.676471,74.34706,53.27576,8.194118,36.84246,115.7548,130.024,108.5386,2.810554,5527.485,2838.306,67.14356
2.10e+08,-179.7235,76,13,1552.485,-315.9868,44.01036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,10,.6454167,6.882353,111.8382,62.25588,125.7529,39.19774,149.5166,211.2459,60.13846,47.36678,12507.79,3875.795,15813.8
2.10e+08,-1263.619,76,13,2618.934,-1671.509,-1369.206,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,0,1,2,0,2,.6285,18.92647,111.8382,62.25588,-37.1,39.08084,149.5166,211.2459,63.57383,358.2113,12507.79,3875.795,1376.41
1.11e+08,131.5789,76,6,752.0737,-80.9996,53.73932,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,4,.6329167,53.9697,-52.43636,273.0818,55.72187,32.24647,99.81912,134.8266,64.16047,2912.728,2749.572,74573.68,3104.927
1.11e+08,-138.2488,76,9,331.5686,-481.4259,-461.2839,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,2,2,0,1,10,.6454167,-10.41471,64.81765,55.73529,66.28236,36.85144,104.3601,148.7918,64.1443,108.4661,4201.327,3106.423,4393.35
2.20e+08,1552.262,76,31,2128.826,336.6919,484.8979,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,3,0,0,1,.6261666,-39.66364,-14.70588,-36.73824,149.8,55.2603,91.98359,122.7065,92.65401,1573.204,216.263,1349.698,22440.04
1.21e+08,-2453.005,76,24,1101.305,-1518.315,-1505.988,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6,.6383333,101.6647,-149.7212,64.84706,127.1382,63.51105,120.0491,107.2839,124.7622,10335.71,22416.44,4205.141,16164.13
